index,index_old,category,category_v2,command_kor,command_eng,ir_gt,connected_devices,notes
3,3.0,4.0,C07,소리 센서의 수치가 50보다 커지면 스피커 재생을 멈춰줘.,"When the sound sensor value exceeds 50, stop speaker playback.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""SoundSensor.Sound > 50"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Speaker.Stop"", ""args"": {}}]}","{""LivingRoom_Sound"": {""category"": [""SoundSensor""], ""tags"": [""LivingRoom"", ""SoundSensor""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
1,16.0,6.0,C05,"거실에 사람이 있고 주방에서 연기가 감지되고 있으면, 거실 스피커로 주방에 연기가 감지되었다고 출력하고 주방 밸브를 잠궈줘.","If someone is in the living room and smoke is being detected in the kitchen, play an announcement in the living room and close the kitchen valve.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""if"", ""cond"": ""PresenceSensor.Presence == true and SmokeDetector.Smoke == true"", ""then"": [{""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {}}, {""op"": ""call"", ""target"": ""Valve.Close"", ""args"": {}}], ""else"": []}]}","{""LivingRoom_Presence"": {""category"": [""PresenceSensor""], ""tags"": [""LivingRoom"", ""PresenceSensor""]}, ""Kitchen_Smoke"": {""category"": [""SmokeDetector""], ""tags"": [""Kitchen"", ""SmokeDetector""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Valve"": {""category"": [""Valve""], ""tags"": [""Kitchen"", ""Valve""]}, ""Bedroom_Speaker"": {""category"": [""Speaker""], ""tags"": [""Bedroom"", ""Speaker""]}}",Distractor on Speaker.
2,17.0,6.0,C05,"안방의 온도가 26도 이상이고 창문이 열려 있으면, 창문을 닫고 에어컨을 켜줘.","If the bedroom temperature is 26 degrees or higher and the bedroom window is open, close the window and turn on the air conditioner.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""if"", ""cond"": ""TemperatureSensor.Temperature >= 26 and WindowCovering.CurrentPosition > 0"", ""then"": [{""op"": ""call"", ""target"": ""WindowCovering.DownOrClose"", ""args"": {}}, {""op"": ""call"", ""target"": ""Switch.On"", ""args"": {}}], ""else"": []}]}","{""Bedroom_Temp"": {""category"": [""TemperatureSensor""], ""tags"": [""Bedroom"", ""TemperatureSensor""]}, ""Bedroom_Window"": {""category"": [""WindowCovering""], ""tags"": [""Bedroom"", ""WindowCovering"", ""Window""]}, ""Bedroom_AC"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""Bedroom"", ""AirConditioner"", ""Switch""]}, ""LivingRoom_AC"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""LivingRoom"", ""AirConditioner"", ""Switch""]}}",Distractor on AirConditioner.
3,18.0,6.0,C05,"차고에서 움직임이 감지되고 있고 메인 사이렌이 꺼져있으면, 비상 사이렌을 울리고 차고 사진을 찍어줘.","If motion is detected in the garage and the main siren is off, sound the siren in emergency and take a picture.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""if"", ""cond"": ""MotionSensor.Motion == true and Siren.SirenMode != \""emergency\"""", ""then"": [{""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}, {""op"": ""call"", ""target"": ""Camera.CaptureImage"", ""args"": {}}], ""else"": []}]}","{""Garage_Motion"": {""category"": [""MotionSensor""], ""tags"": [""Garage"", ""MotionSensor""]}, ""Main_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Main"", ""Siren"", ""Switch""]}, ""Garage_Camera"": {""category"": [""Camera""], ""tags"": [""Garage"", ""Camera""]}, ""Hallway_Camera"": {""category"": [""Camera""], ""tags"": [""Hallway"", ""Camera""]}}",Distractor on Camera.
1,1.0,7.0,C17,10분마다 확인해서 온도가 30도 이상이면 에어컨을 쿨모드로 설정해줘.,"Every 10 minutes, if the temperature is 30 degrees or higher, set the air conditioner to cool mode.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""cycle"", ""until"": null, ""period"": ""10 MIN"", ""body"": [{""op"": ""if"", ""cond"": ""TemperatureSensor.Temperature >= 30"", ""then"": [{""op"": ""call"", ""target"": ""AirConditioner.SetAirConditionerMode"", ""args"": {""Mode"": ""cool""}}], ""else"": []}]}]}","{""LivingRoom_Temp"": {""category"": [""TemperatureSensor""], ""tags"": [""LivingRoom"", ""TemperatureSensor""]}, ""LivingRoom_AC"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""LivingRoom"", ""AirConditioner"", ""Switch""]}, ""Bedroom_AC"": {""category"": [""AirConditioner"", ""Switch""], ""tags"": [""Bedroom"", ""AirConditioner"", ""Switch""]}}",Selector (#TemperatureSensor) preserved verbatim from original GT.
1,26.0,7.0,C15,오후 6시에 벽에 있는 홀수 태그가 붙은 블라인드 높이를 모두 50%로 조절해줘.,"At 6 PM, set the level of all blinds with odd tags on the wall to 50%.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""cron"", ""cron"": ""0 18 * * *""}, {""op"": ""call"", ""target"": ""WindowCovering.SetLevel"", ""args"": {""Level"": 50}}]}","{""Wall_Blind_1"": {""category"": [""WindowCovering""], ""tags"": [""Wall"", ""Odd"", ""Blind"", ""WindowCovering"", ""LivingRoom""]}, ""Wall_Blind_3"": {""category"": [""WindowCovering""], ""tags"": [""Wall"", ""Odd"", ""Blind"", ""WindowCovering"", ""Kitchen""]}, ""Floor_Blind_2"": {""category"": [""WindowCovering""], ""tags"": [""Floor"", ""Even"", ""Blind"", ""WindowCovering"", ""Bedroom""]}}",ok
2,27.0,7.0,C15,주말에 2시간마다 거실에 있는 로봇 청소기들을 모두 반복 모드로 설정해줘.,"Every 2 hours on weekends, set all robot vacuum cleaners in the living room to repeat mode.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""cron"", ""cron"": ""0 0 * * 6,7""}, {""op"": ""call"", ""target"": ""RobotVacuumCleaner.SetRobotVacuumCleanerCleaningMode"", ""args"": {""Mode"": ""repeat""}}]}","{""LR_RVC_1"": {""category"": [""RobotVacuumCleaner""], ""tags"": [""LivingRoom"", ""RobotVacuumCleaner"", ""ModelA""]}, ""LR_RVC_2"": {""category"": [""RobotVacuumCleaner""], ""tags"": [""LivingRoom"", ""RobotVacuumCleaner"", ""ModelB""]}, ""Kitchen_RVC"": {""category"": [""RobotVacuumCleaner""], ""tags"": [""Kitchen"", ""RobotVacuumCleaner"", ""ModelA""]}}",Original 'setRobotVacuumCleanerModeMode' (typo) corrected to setRobotVacuumCleanerCleaningMode in 2.0.4 ('repeat' is in CleaningModeEnum).
1,1.0,8.0,C13,1시간마다 문을 열었다 닫았다 반복해줘.,"Every hour, repeat opening and closing the door.","{""timeline"":[{""op"":""start_at"",""anchor"":""now""},{""op"":""cycle"",""until"":null,""period"":""1 HOUR"",""count"":""n"",""body"":[{""op"":""if"",""cond"":""n % 2 == 0"",""then"":[{""op"":""call"",""target"":""Door.Open"",""args"":{}}],""else"":[{""op"":""call"",""target"":""Door.Close"",""args"":{}}]}]}]}","{""Entrance_Door"": {""category"": [""Door""], ""tags"": [""Entrance"", ""Door""]}, ""Garage_Door"": {""category"": [""Door""], ""tags"": [""Garage"", ""Door""]}}",ok
1,2.0,8.0,C18,오후 1시부터 3시까지 5분마다 벨브를 열었다 닫았다 반복해줘.,"Every 5 minutes from 1 PM to 3 PM, repeat opening and closing the valve.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""cron"", ""cron"": ""0 13 * * *""}, {""op"": ""cycle"", ""until"": ""clock.time >= 1500"", ""period"": ""5 MIN"", ""body"": [{""op"": ""call"", ""target"": ""Valve.Open"", ""args"": {}}, {""op"": ""call"", ""target"": ""Valve.Close"", ""args"": {}}]}]}","{""Kitchen_Valve"": {""category"": [""Valve""], ""tags"": [""Kitchen"", ""Valve""]}, ""Garden_Valve"": {""category"": [""Valve""], ""tags"": [""Garden"", ""Valve""]}}",Distractor on Valve.
2,3.0,8.0,C13,30분마다 거실 공기청정기를 수면모드와 자동모드 사이에서 전환해줘.,"Every 30 minutes, toggle the living room air purifier between sleep mode and auto mode.","{""timeline"":[{""op"":""start_at"",""anchor"":""now""},{""op"":""cycle"",""until"":null,""period"":""30 MIN"",""count"":""n"",""body"":[{""op"":""if"",""cond"":""n % 2 == 0"",""then"":[{""op"":""call"",""target"":""AirPurifier.SetAirPurifierMode"",""args"":{""Mode"":""sleep""}}],""else"":[{""op"":""call"",""target"":""AirPurifier.SetAirPurifierMode"",""args"":{""Mode"":""auto""}}]}]}]}","{""LivingRoom_AirPurifier"": {""category"": [""AirPurifier""], ""tags"": [""LivingRoom"", ""AirPurifier""]}, ""Bedroom_AirPurifier"": {""category"": [""AirPurifier""], ""tags"": [""Bedroom"", ""AirPurifier""]}}",ok
6,6.0,1.0,C01,TV 채널을 하나 내려줘.,Turn the TV channel down by one.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Television.SetChannel"", ""args"": {""Channel"": ""$Television.Channel - 1""}, ""var"": ""Television.Channel""}]}","{""LivingRoom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""LivingRoom"", ""Television"", ""Switch""]}, ""Bedroom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""Bedroom"", ""Television"", ""Switch""]}}",Selector (#Television) preserved verbatim.
7,7.0,1.0,C01,TV로 7번 채널을 틀어줘.,Switch the TV to channel 7.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Television.SetChannel"", ""args"": {""Channel"": 7}}]}","{""LivingRoom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""LivingRoom"", ""Television"", ""Switch""]}, ""Bedroom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""Bedroom"", ""Television"", ""Switch""]}}",Selector (#Television) preserved verbatim.
8,8.0,1.0,C01,실내 온도를 스피커로 알려줘.,Announce the indoor temperature through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""Temperature"", ""src"": ""TemperatureSensor.Temperature""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The indoor temperature is $Temperature""}}]}","{""LivingRoom_Temp"": {""category"": [""TemperatureSensor""], ""tags"": [""LivingRoom"", ""TemperatureSensor""]}, ""Bedroom_Temp"": {""category"": [""TemperatureSensor""], ""tags"": [""Bedroom"", ""TemperatureSensor""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",Selectors (#TemperatureSensor) and (#Speaker) preserved verbatim.
9,9.0,1.0,C01,외부 온도를 스피커로 출력해줘.,Tell me the outdoor temperature through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""TemperatureWeather"", ""src"": ""WeatherProvider.TemperatureWeather""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The outdoor temperature is $TemperatureWeather""}}]}","{""System_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",WeatherProvider is system-level; (#Speaker) preserved verbatim.
10,10.0,1.0,C01,현재 습도를 스피커로 말해줘.,Tell me the current humidity through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""Humidity"", ""src"": ""HumiditySensor.Humidity""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The current humidity is $Humidity""}}]}","{""LivingRoom_Humidity"": {""category"": [""HumiditySensor""], ""tags"": [""LivingRoom"", ""HumiditySensor""]}, ""Bedroom_Humidity"": {""category"": [""HumiditySensor""], ""tags"": [""Bedroom"", ""HumiditySensor""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",Selectors (#HumiditySensor) and (#Speaker) preserved verbatim.
11,11.0,1.0,C01,외부 습도를 스피커로 말해줘.,Tell me the outdoor humidity through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""HumidityWeather"", ""src"": ""WeatherProvider.HumidityWeather""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The outdoor humidity is $HumidityWeather""}}]}","{""System_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",WeatherProvider is system-level; (#Speaker) preserved verbatim.
12,12.0,1.0,C01,오늘의 날씨를 스피커로 출력해줘.,Output today's weather through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""Weather"", ""src"": ""WeatherProvider.Weather""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""Today's weather is $Weather""}}]}","{""System_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
13,13.0,1.0,C01,미세먼지 농도를 스피커로 알려줘.,Announce the fine dust level through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""FineDustLevel"", ""src"": ""AirQualitySensor.FineDustLevel""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The fine dust level is $FineDustLevel""}}]}","{""LivingRoom_AirQuality"": {""category"": [""AirQualitySensor""], ""tags"": [""LivingRoom"", ""AirQualitySensor""]}, ""Bedroom_AirQuality"": {""category"": [""AirQualitySensor""], ""tags"": [""Bedroom"", ""AirQualitySensor""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",Selectors (#AirQualitySensor) and (#Speaker) preserved verbatim.
14,14.0,1.0,C01,외부 미세먼지 농도를 스피커로 알려줘.,Announce the outdoor fine dust level using the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""Pm10Weather"", ""src"": ""WeatherProvider.Pm10Weather""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The outdoor fine dust level is $Pm10Weather""}}]}","{""System_WeatherProvider"": {""category"": [""WeatherProvider""], ""tags"": [""WeatherProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
15,15.0,1.0,C01,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.","Generate a cat image using cloud service and save it as ""cat.png"".","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""CloudServiceProvider.GenerateImage"", ""args"": {""Prompt"": ""Generate a cat image""}, ""var"": ""GenerateImage""}, {""op"": ""call"", ""target"": ""CloudServiceProvider.SaveToFile"", ""args"": {""Data"": ""$GenerateImage"", ""FilePath"": ""cat.png""}}]}","{""System_CloudServiceProvider"": {""category"": [""CloudServiceProvider""], ""tags"": [""CloudServiceProvider""]}}",CloudServiceProvider is a singleton system service; no location distractor applicable.
16,16.0,1.0,C01,충전기의 전력소모량을 스피커로 출력해줘.,Output the charger's power consumption through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""Power"", ""src"": ""Charger.Power""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""The charger's power consumption is $Power""}}]}","{""LivingRoom_Charger"": {""category"": [""Charger""], ""tags"": [""LivingRoom"", ""Charger""]}, ""Bedroom_Charger"": {""category"": [""Charger""], ""tags"": [""Bedroom"", ""Charger""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",Selectors (#Charger) and (#Speaker) preserved verbatim.
17,17.0,1.0,C01,오늘의 메뉴를 스피커로 출력해줘.,Tell me today's menu using the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""read"", ""var"": ""TodayMenu"", ""src"": ""MenuProvider.TodayMenu""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""Today's menu is $TodayMenu""}, ""var"": ""TodayMenu""}]}","{""System_MenuProvider"": {""category"": [""MenuProvider""], ""tags"": [""MenuProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
18,18.0,1.0,C01,오늘의 301동 점심 메뉴를 스피커로 알려줘.,Tell me the lunch menu for Building 301 today through the speaker.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""MenuProvider.GetMenu"", ""args"": {""Command"": ""오늘 301동식당 점심""}, ""var"": ""GetMenu""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""$GetMenu""}}]}","{""System_MenuProvider"": {""category"": [""MenuProvider""], ""tags"": [""MenuProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
19,19.0,1.0,C01,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,"Ask the cloud AI what an LLM is, and output its answer through the speaker.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""CloudServiceProvider.ChatWithAI"", ""args"": {""Prompt"": ""What is an LLM?""}, ""var"": ""ChatWithAI""}, {""op"": ""call"", ""target"": ""Speaker.Speak"", ""args"": {""Text"": ""$ChatWithAI""}}]}","{""System_CloudServiceProvider"": {""category"": [""CloudServiceProvider""], ""tags"": [""CloudServiceProvider""]}, ""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Kitchen_Speaker"": {""category"": [""Speaker""], ""tags"": [""Kitchen"", ""Speaker""]}}",ok
3,20.0,4.0,C08,멀티버튼의 버튼3이 눌리면 거실 조명 밝기를 30%로 설정해줘.,"When button 3 of the multi-button is pressed, set all living room lights to 30% brightness.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""MultiButton.Button3 == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 30.0, ""Rate"": 0.0}}]}","{""LR_MB"": {""category"": [""MultiButton""], ""tags"": [""LivingRoom"", ""MultiButton""]}, ""Bedroom_MB"": {""category"": [""MultiButton""], ""tags"": [""Bedroom"", ""MultiButton""]}, ""LR_Light_1"": {""category"": [""Light""], ""tags"": [""LivingRoom"", ""Light""]}, ""LR_Light_2"": {""category"": [""Light""], ""tags"": [""LivingRoom"", ""Light""]}, ""Bedroom_Light"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}}",multibutton_light
