file,id,field,before,after,reason
corpus_100.csv,E1-022,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-023,rb_adjudicated,,"R1, B3",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-024,rb_adjudicated,,R3,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-025,rb_adjudicated,,"R2, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-026,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-027,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-028,rb_adjudicated,,R3,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-029,rb_adjudicated,,"R2, B3",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-030,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-031,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-032,rb_adjudicated,,R6,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-033,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-034,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-035,rb_adjudicated,,"R1, R3",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-036,rb_adjudicated,,N/A,author R/B coding 2026-09-13: OUT_OF_SCOPE; excluded from the R/B distribution
corpus_100.csv,E1-037,rb_adjudicated,,N/A,author R/B coding 2026-09-13: OUT_OF_SCOPE; excluded from the R/B distribution
corpus_100.csv,E1-038,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-039,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-040,rb_adjudicated,,"R1, R6, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-041,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-043,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-044,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-045,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-046,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-047,rb_adjudicated,,"R1, R6, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-048,rb_adjudicated,,"R5, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-049,rb_adjudicated,,"R1, R6, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-051,rb_adjudicated,,"R1, R6, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-052,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-053,rb_adjudicated,,"R1, R5, R6, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-054,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-055,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-057,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-059,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-060,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-061,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-062,rb_adjudicated,,"R1, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-063,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-064,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-065,rb_adjudicated,,"R1, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-066,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-067,rb_adjudicated,,"R1, R2, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-068,rb_adjudicated,,"R1, R2, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-070,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-073,rb_adjudicated,,R1,author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-074,rb_adjudicated,,"R1, R2, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-075,rb_adjudicated,,"R1, R9",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-076,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-077,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-078,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-079,rb_adjudicated,,"R1, R5, R7",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-080,rb_adjudicated,,R1,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-081,rb_adjudicated,,"R3, R7, R8",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-082,rb_adjudicated,,"R1, R3",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-083,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-084,rb_adjudicated,,R9,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-085,rb_adjudicated,,"R1, R5",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-086,rb_adjudicated,,"R1, R6, B1",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-087,rb_adjudicated,,"R1, R3, R6, B1",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-089,rb_adjudicated,,"R2, R9, B1",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-090,rb_adjudicated,,"R2, R6",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-091,rb_adjudicated,,N/A,author R/B coding 2026-09-13: AMBIGUOUS; excluded from the R/B distribution
corpus_100.csv,E1-092,rb_adjudicated,,"R1, R6, B2",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-093,rb_adjudicated,,"R1, R2, B2",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-094,rb_adjudicated,,"R2, R6, B2",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-095,rb_adjudicated,,"R5, R8, R9",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-096,rb_adjudicated,,R5,author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-097,rb_adjudicated,,"R1, R6, B2",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-098,rb_adjudicated,,"R1, R2, R3, R4, R5",author R/B coding 2026-09-13: rb_preliminary reviewed and approved by the author
corpus_100.csv,E1-099,rb_adjudicated,,"R3, R10",author R/B coding 2026-09-13: author exception label
corpus_100.csv,E1-100,rb_adjudicated,,R1,author R/B coding 2026-09-13: author exception label
