id	source_features	evaluation_extra_features	behavior_ko	interpretation_note
E1-022	B		매일 오전·오후 6시에 각각 급식	서로 다른 두 일정 트리거, 동작은 같음
E1-023	G,H		최근에 비가 왔으면 스프링클러 시작을 금지	최근을 직전 24시간으로 고정
E1-024	D,H	Q,X	직전 이틀 동안의 총 급수 시간을 10분 이내로 제한	최종 해석은 이동 48시간 누적 예산과 예산 소진 시 중단
E1-025	G		밤 10시 이후에는 CO 검사를 금지	검사 요청에 시간대 가드
E1-026	G,B		어두울 때 자동 점등하되 수동 요청은 밝기와 무관하게 허용	자동·수동 두 요청 경로
E1-028	G,H		직전 4시간의 급식 횟수에 따라 추가 급식을 허용하거나 거부	이동 시간창을 확정 해석으로 사용
E1-029	Q,D	U,X	문을 닫은 뒤 10초 후 잠금	계속 닫혀 있어야 하며 재개방 시 취소·재폐쇄 시 재시작은 확정 해석
E1-030	U		TV 미사용이 1시간 지속되면 끔	중간 사용 시 지속시간 초기화
E1-031	G,H		당일 양치 사용 횟수가 2회 미만이면 TV 켜기를 금지	확정 해석은 양치 사건 계수와 자정 초기화
E1-032	G		에어컨이 켜져 있으면 창문 열기 요청을 차단	단일 요청에 현재 상태 가드
E1-033	G	A,B,Q	평일 오후 5–6시 차고 문 열림 상태 유지	17시 열기·18시 닫기·시간창 내 재개방을 확정 해석으로 추가
E1-034	A,Q,U,D	B,R,X	오븐이 4시간 켜져 있으면 연장 확인을 요청하고 무응답이면 종료	확인 응답 제한 1분과 응답 시 4시간 타이머 재시작·반복은 확정 해석
E1-035	U		방의 무인 상태가 10분 넘게 지속되면 TV 끄기	재실하면 지속시간 초기화
E1-038	R		특정 발신자 이메일을 받으면 조명을 깜빡여 알림	최종 평가에서는 기기 제공 Blink 한 번을 호출하므로 반복은 기기 내부 동작
E1-039	-		일몰에 조명 켜기	일몰은 플랫폼이 제공하는 사건
E1-040	-		오후 7시에 침실 조명 켜기	단일 시각 트리거
E1-041	R		현관에 사람이 있으면 조명 점멸	최종 평가에서는 기기 제공 Blink 한 번을 호출하므로 반복은 기기 내부 동작
E1-042	B,A		재실하면 켜고 부재하면 끄는 조명 상태 대응	두 상태에 서로 다른 동작, 추가 시간창 없음
E1-043	-		비가 시작되면 조명을 파란색으로 변경	단일 사건과 단일 설정 동작
E1-044	A		문이 닫히면 잠금과 조명 끄기를 함께 수행	두 동작은 같은 시각이며 지연 순서 아님
E1-045	G,H	Q,D	수면 시간이 5시간 미만이면 커피 추출	평가에서는 수면 시작·종료를 직접 관찰해 길이를 계산
E1-046	-		매일 오후 6시에 조명 켜기	단일 일정 트리거
E1-047	G		근무 시간대에 사람이 감지되면 이메일 전송	사람 감지에 시간대 가드
E1-048	B,A		외기 온도가 낮으면 난방 설정, 그렇지 않으면 끔	현재 온도에 따른 두 동작 경로
E1-049	G		오전 10시 이전이고 외기 온도가 낮을 때 커피 추출	시간대와 현재 온도의 조합
E1-050	-		오후 6시에 조명 켜기	단일 시각 트리거
E1-051	G		오후 6–11시 사이 귀가하면 조명 켜기	귀가 사건에 시간대 가드
E1-052	-		눈이 오면 온도조절기를 75도로 설정	단일 조건과 단일 설정 동작
E1-053	G		오전 7–10시 사이이고 외기 온도가 낮으면 커피 추출	시간대와 현재 온도의 조합
E1-054	-		스위치를 켜면 조명 켜기	단일 사건과 단일 동작
E1-055	A		밤 10시에 조명 밝기를 낮추고 블라인드 닫기	단일 일정에 여러 동작
E1-056	-		첫 사람이 귀가하면 카메라 끄기	가구 점유 변화는 플랫폼 입력이며 별도 이력 관리는 요구하지 않음
E1-057	B,A		집이 비면 청소기를 시작하고 사람이 오면 정지	두 점유 상태 전이에 서로 다른 동작
E1-058	G,A		어두울 때 TV가 켜지면 조명을 낮추고 블라인드 내리기	상태 가드와 여러 동작
E1-059	A		추우면 블라인드·팬·온도조절기를 함께 조작	같은 사건에 세 종류 동작, 시간 순서는 없음
E1-060	A		더우면 블라인드·팬·온도조절기를 함께 조작	같은 사건에 여러 동작, 시간 순서는 없음
E1-061	B,A		일몰에 점등, 밤 10시 감광, 자정 소등	세 독립 트리거이므로 앞 동작 완료를 기다리는 순차 흐름으로 세지 않음
E1-062	G,B,A		두 조명의 켜짐·꺼짐 변화를 양방향으로 동기화	다른 상태일 때만 복사하는 가드로 되먹임 방지
E1-063	Q,R	A,D,X	연기가 감지되면 빨강·파랑 점멸	구체 색상·꺼짐 순서와 5초 간격 및 실행 중 재트리거 무시는 확정 해석
E1-064	A		공기질 악화에 공기청정기를 켜고 고속으로 설정	평가 경계에서 On과 Speed 두 동작
E1-065	G	A	야간 잠금 해제에 조명을 최대 밝기로 켜기	평가 구현은 On과 Brightness 명령을 분리
E1-066	R	A,Q,D,X	CO 감지 시 조명 점멸	150회와 1초 간격은 확정 해석의 구체화이며 요청 원문이 그 수치를 요구한 것은 아님
E1-067	A,Q,U,X		움직임에 점등하고 무감지 5분 후 소등하며 재감지 시 취소	지속 부재 타이머를 관찰
E1-068	A,Q,D	U,X	재실 감지 시 점등하고 5분 뒤 소등	공식 YAML에 따라 평가에서는 부재 5분 지속과 재실 시 취소로 해석
E1-069	-		집이 비면 카메라 켜기	단일 사건과 단일 동작
E1-070	G,R	A,Q,D,X	초인종에 재실 중인 방 조명을 점멸	150회·1초 간격·실행 중 재트리거 무시는 확정 해석
E1-071	A		영화 모드 요청에 블라인드·조명·소음 기기를 함께 조작	여러 즉시 동작
E1-072	G,B,A		야간 귀가 시 점등하고 부재 시 소등	확정 해석은 HOME에 야간 가드, AWAY에 주간 가드
E1-073	-		택배 도착 시 알림 전송	단일 사건과 단일 동작
E1-074	G,H,X		아침 움직임에 블라인드를 열고 이후 20시간 트리거 억제	마지막 실제 개방 시점을 기준으로 억제
E1-075	G		평일 근무 시간에 움직임이 감지되면 알림	평가의 센서 3개·수신자 2개는 바인딩 규모이며 동작 종류를 늘리지 않음
E1-076	-		사람이 지정 구역을 벗어나면 알림	단일 사건과 단일 동작
E1-077	-		태양 고도가 임계값 아래로 내려가면 외부 조명 켜기	태양 고도는 플랫폼 입력
E1-078	B,A,Q,D,X		움직임·조도 사건으로 제한 시간 점등하고 자동 소등 뒤 재점등을 억제	수동 점등으로 재무장하는 정책은 확정 해석
E1-079	D,U,R	B,X	센서 새 값이 없으면 매분 실행	평가에서는 새 값 도착에도 실행하며 마지막 변경·실행 시점부터 60초를 다시 계산
E1-080	-		모든 사람이 외출하면 경보를 외출 모드로 전환	현재 집계 점유값에 대한 단일 조건
E1-081	G,D,R,X		재실 중 5분마다 최대 세 번 알림	평가에서는 퇴실 시 취소하고 새 입실에 횟수 초기화
E1-082	Q,U,H		문 열림이 5분 넘게 지속된 뒤 닫혔을 때 알림	문 닫힘 시 이전 열림 지속시간을 판정
E1-084	G,B,A		요일군에 따라 다른 시각에 점등·소등	독립된 일정 규칙이며 실행 중 기다림을 요구하지 않음
E1-085	B,A		하한 하강에 히터를 켜고 상한 상승에 끔	두 임계값 사이에서 이전 장치 상태를 유지하는 히스테리시스
E1-086	A,Q,D,X		두 급수 구역을 지연 순서대로 실행하며 중간 취소 시 전체 종료	원문에 즉시 취소와 후속 동작 중단 명시
E1-087	A,Q,D,X		버튼으로 10분간 켜고 다시 누르면 종료 타이머 재시작	원문에 재시작 명시
E1-088	G		일몰 전 특정 시간창에서 흐림·비 사건에 조명 켜기	시간창 계산은 현재 제공된 일몰 시각 사용
E1-089	B,A,X		일몰·일출에 점등·소등하며 재시작 때 누락 사건 처리	최종 평가 정책은 시작 시점 상태 보정과 태양 고도 조건
E1-090	G,A,Q,D	X	트리거와 조건에 따라 켠 뒤 정해진 시간 후 끔	30분으로 고정하고 실행 중 재트리거 무시
E1-092	A,Q,P,X	D	공지와 집 종료를 독립 실행하며 공지 실패가 집 종료를 막지 않음	공지 사이 지연값은 확정 해석
E1-093	A,Q,D,P		초인종에 세 화면 표시 흐름을 독립 실행해 한 흐름의 지연이 다른 흐름을 막지 않음	각 지연값은 확정 해석
E1-094	A,Q,D,P		조명별 페이드·대기·소등 순서를 독립적으로 병렬 실행	조명별 자체 순서를 보존
E1-095	Q,H	R	시간 구간의 pH·염소 측정치를 모아 평균을 계산하고 보고	평가에서는 고정된 다섯 시각의 스냅샷과 평균 사용
E1-096	G	B	정해진 요일·시각에 배터리 임계값 또는 결측 상태에 따라 알림	대상별 known/unknown 처리를 분기하며 타이밍 이력은 없음
E1-097	G,A,R,P	Q,D	초인종에 조건별 소리·점멸·알림을 동시에 독립 실행	점멸은 평가에서 1초로 구체화
E1-098	Q,U,X		세탁 시작 전력 사건 이후 종료 조건이 지속되면 알림하고 다음 회차로 재설정	관찰 순서와 재무장 명시
E1-099	Q,D,U,H,X		최소 점등 시간을 유지하고 움직임마다 종료 기한 연장 후 무감지 조건으로 종료	원문상 기한 연장이며 타이머 재시작과 구분
E1-100	G		마지막 사람이 나가는 사건에 문 잠금 상태를 확인해 알림	나중 잠금 해제는 같은 트리거가 아님
