src,index,old_cat,command_eng,D,D_base,D_name,features,B1,B3,A2,services,n_connected
dataset.csv,22,C01,Set the pump to normal mode.,D1,D1,지금 한 번,,set,1,unmarked,Pump.SetPumpMode,2
dataset.csv,23,C01,Stop the robot vacuum cleaner.,D1,D1,지금 한 번,,set,1,unmarked,RobotVacuumCleaner.SetRobotVacuumCleanerMode,2
dataset.csv,24,C01,"Play ""music.mp3"" through the speaker.",D1,D1,지금 한 번,,set,1,unmarked,Speaker.Play,2
dataset.csv,25,C01,Set the speaker volume to maximum.,D1,D1,지금 한 번,,set,1,unmarked,Speaker.SetVolume,2
dataset.csv,26,C01,Lower the speaker volume by one.,D1,D1,지금 한 번,,act,1,unmarked,Speaker.VolumeDown,2
dataset.csv,27,C01,Open the valve.,D1,D1,지금 한 번,,act,1,unmarked,Valve.Open,2
dataset.csv,28,C01,Set the TV channel to 30.,D1,D1,지금 한 번,,set,1,unmarked,Television.SetChannel,2
dataset.csv,2,C02,Set all dehumidifiers in the lab to AI drying mode.,D1,D1,지금 한 번,,set,1,all,Dehumidifier.SetDehumidifierMode,3
dataset.csv,3,C02,Set the hue of the living room light to 240 and the saturation to 80.,D1,D1,지금 한 번,,set,1,unmarked,Light.MoveToHueAndSaturation,2
dataset.csv,4,C02,Set all robot vacuum cleaners with even tags to auto mode.,D1,D1,지금 한 번,,set,1,all,RobotVacuumCleaner.SetRobotVacuumCleanerMode,3
dataset.csv,5,C02,Lock all door locks.,D1,D1,지금 한 번,,act,1,all,DoorLock.Lock,3
dataset.csv,6,C02,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,D1,D1,지금 한 번,,set,1,unmarked,AirConditioner.SetTargetTemperature,2
dataset.csv,7,C02,Change the air purifier in the bedroom to sleep mode.,D1,D1,지금 한 번,,set,1,unmarked,AirPurifier.SetAirPurifierMode,2
dataset.csv,8,C02,Close all valves in the kitchen.,D1,D1,지금 한 번,,act,1,all,Valve.Close,3
dataset.csv,9,C02,Open all safes.,D1,D1,지금 한 번,,act,1,all,Safe.Unlock,3
dataset.csv,10,C02,Record for 10 seconds with the meeting room recorder and save it as test.wav.,D1,D1,지금 한 번,,set,1,unmarked,AudioRecorder.RecordWithDuration,2
dataset.csv,11,C02,Sound a fire siren on the farm.,D1,D1,지금 한 번,,set,1,unmarked,Siren.SetSirenMode,2
dataset.csv,12,C02,"Play the ""Golden.mp3"" file through the speaker in the playroom.",D1,D1,지금 한 번,,set,1,unmarked,Speaker.Play,2
dataset.csv,5,C08,"When button 1 of the multi-button is pressed, turn on the entrance light at maximum brightness.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,Light.MoveToBrightness MultiButton.Button1,4
dataset.csv,13,C02,Close all windows in the living room.,D1,D1,지금 한 번,,act,1,all,WindowCovering.DownOrClose,3
dataset.csv,14,C02,Open all blinds in Sector2.,D1,D1,지금 한 번,,act,1,all,WindowCovering.UpOrOpen,3
dataset.csv,6,C08,"When button 2 of the multi-button is pressed, turn off all lights in the hallway.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button2,5
dataset.csv,15,C02,Lock all safes with odd tags in Sector B.,D1,D1,지금 한 번,,act,1,all,Safe.Lock,4
dataset.csv,7,C08,"When button 3 of the multi-button is pressed, turn on all lights on floor 1.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button3,5
dataset.csv,16,C02,Close everything in Sector2.,D1,D1,지금 한 번,,act,1,unmarked,WindowCovering.DownOrClose,3
dataset.csv,8,C08,"When button 4 of the multi-button is pressed, turn off all lights on floor 1.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button4,5
dataset.csv,9,C08,"When button 1 of the multi-button is pressed, turn on the entrance light and turn it off after 5 minutes.",D13,D4,복합 중첩,delay|wait,read|set,2,unmarked,Light.MoveToBrightness MultiButton.Button1,4
dataset.csv,10,C08,"When button 2 of the multi-button is pressed, turn on all living room lights and dim them to 30% after 30 minutes.",D13,D4,복합 중첩,delay|wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button2,5
dataset.csv,17,C02,Lower all even-tagged blinds in the bedroom.,D1,D1,지금 한 번,,act,1,all,WindowCovering.DownOrClose,4
dataset.csv,18,C02,Stop all robot vacuum cleaners on the 3rd floor.,D1,D1,지금 한 번,,set,1,all,RobotVacuumCleaner.SetRobotVacuumCleanerMode,3
dataset.csv,11,C08,"When button 3 of the multi-button is pressed, turn off all lights after 1 hour.",D13,D4,복합 중첩,delay|wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button3,5
dataset.csv,19,C02,Set all dehumidifiers in the office to dehumidify mode.,D1,D1,지금 한 번,,set,1,all,Dehumidifier.SetDehumidifierMode,3
dataset.csv,20,C02,Lock all door locks in the storage.,D1,D1,지금 한 번,,act,1,all,DoorLock.Lock,3
dataset.csv,21,C02,Open all even-tagged valves in the kitchen.,D1,D1,지금 한 번,,act,1,all,Valve.Open,4
dataset.csv,2,C03,"If the cloud service is activated, upload test.png file to the cloud.",D3,D3,조건 지금,if,set,2,unmarked,CloudServiceProvider.IsAvailable CloudServiceProvider.UploadFile,2
dataset.csv,3,C03,"If the oven is in grill mode, add 4 more minutes.",D3,D3,조건 지금,if,read|set,2,unmarked,Oven.AddMoreTime Oven.OvenMode,2
dataset.csv,4,C03,"If the rice cooker is on keep-warm mode, switch it to cooking mode.",D3,D3,조건 지금,if,read|set,2,unmarked,RiceCooker.RiceCookerMode RiceCooker.SetRiceCookerMode,2
dataset.csv,5,C03,"If the outdoor very fine dust level is 15 or higher, sound the emergency siren.",D3,D3,조건 지금,if,read|set,2,unmarked,Siren.SetSirenMode WeatherProvider.Pm25Weather,3
dataset.csv,6,C03,"If the charger current is 10 amperes or above, sound the emergency siren.",D3,D3,조건 지금,if,read|set,2,unmarked,Charger.Current Siren.SetSirenMode,3
dataset.csv,7,C03,"If the pump is in normal mode, set it to maximum mode.",D3,D3,조건 지금,if|read|var,read|set,2,unmarked,Pump.PumpMode Pump.SetPumpMode,2
dataset.csv,8,C03,"If the speaker is playing, stop it.",D3,D3,조건 지금,if,act|read,2,unmarked,Speaker.PlaybackState Speaker.Stop,2
dataset.csv,9,C03,"If the laundry dryer is in low noise mode, switch it to quick mode.",D3,D3,조건 지금,if,read|set,2,unmarked,LaundryDryer.LaundryDryerMode LaundryDryer.SetLaundryDryerMode,2
dataset.csv,10,C03,"If the charger is fully charged, turn off the charger.",D3,D3,조건 지금,if,act|read,2,unmarked,Charger.ChargingState Switch.Off,2
dataset.csv,11,C03,"If the button is in the pushed state, raise the blind.",D3,D3,조건 지금,if,act|read,2,unmarked,Button.Button WindowCovering.UpOrOpen,4
dataset.csv,12,C03,"If the speaker volume is 40 or higher, stop the playback.",D3,D3,조건 지금,if,act|read,2,unmarked,Speaker.Stop Speaker.Volume,2
dataset.csv,13,C03,"If face recognition at the entrance is off, start it.",D3,D3,조건 지금,if,act|read,2,unmarked,FaceRecognizer.Start Switch.Switch,2
dataset.csv,14,C03,"If the shade is 30% or less open, set it to 50%.",D3,D3,조건 지금,if,read|set,2,unmarked,WindowCovering.CurrentPosition WindowCovering.SetLevel,2
dataset.csv,15,C03,"If the sound sensor level in livingroom is over 50, stop the speaker.",D3,D3,조건 지금,if,act|read,2,unmarked,SoundSensor.Sound Speaker.Stop,4
dataset.csv,16,C03,"If the air conditioner in livingroom is in cool mode, switch it to auto mode.",D3,D3,조건 지금,if,read|set,2,unmarked,AirConditioner.AirConditionerMode AirConditioner.SetAirConditionerMode,2
dataset.csv,17,C03,"If any presence sensor in the house is currently in the detected state, set the siren to emergency mode.",D3,D3,조건 지금,if,read|set,2,any,PresenceSensor.Presence Siren.SetSirenMode,5
dataset.csv,18,C03,"If the contact sensor at the entrance is in detected state, sound the emergency siren.",D3,D3,조건 지금,if,read|set,2,unmarked,ContactSensor.Contact Siren.SetSirenMode,4
dataset.csv,19,C03,"If it is raining, set all dehumidifiers in the house to drying mode.",D3,D3,조건 지금,if,read|set,2,all,Dehumidifier.SetDehumidifierMode RainSensor.Rain,5
dataset.csv,1,C14,"Each time button 1 of the multi-button is pressed, increase the hallway light brightness by 10, up to a maximum of 100.",D12,D12,누적·상태 보존,cycle|edge|selfref|var|wait,read|set,3,all,Light.CurrentBrightness Light.MoveToBrightness MultiButton.Button1,4
dataset.csv,20,C03,"If the temperature in sector 1 is 36.5 degrees or higher, set the target temperature to 30.",D3,D3,조건 지금,if,read|set,2,unmarked,AirConditioner.SetTargetTemperature TemperatureSensor.Temperature,4
dataset.csv,21,C03,"If the carbon dioxide concentration in the farm is 800ppm or higher, sound the emergency siren.",D3,D3,조건 지금,if,read|set,2,unmarked,AirQualitySensor.CarbonDioxide Siren.SetSirenMode,4
dataset.csv,22,C03,"If the temperature on the airquality sensor is below 20 degrees, close the door.",D3,D3,조건 지금,if,act|read,2,unmarked,AirQualitySensor.Temperature Door.Close,4
dataset.csv,2,C14,"Each time button 2 of the multi-button is pressed, decrease the hallway light brightness by 10, down to a minimum of 0.",D12,D12,누적·상태 보존,cycle|edge|selfref|wait,read|set,3,all,Light.CurrentBrightness Light.MoveToBrightness MultiButton.Button2,4
dataset.csv,23,C03,"If the temperature in the bedroom is 36.5 degrees or higher, set the bedroom air conditioner to 30 degrees.",D3,D3,조건 지금,if,read|set,2,unmarked,AirConditioner.SetTargetTemperature TemperatureSensor.Temperature,4
dataset.csv,12,C08,"Each time button 3 of the multi-button is pressed, toggle the kitchen light on and off.",D9,D9,트리거 후 반복,cycle|delay|edge|wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button3,4
dataset.csv,4,C07,"When it rains, turn on the dehumidifier.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,RainSensor.Rain Switch.On,4
dataset.csv,13,C08,"When button 1 of the multi-button is pressed, if the bedroom light brightness is 80 or higher, set it to 10; otherwise, set it to 80.",D4,D4,트리거 기다림,if|read|var|wait,read|set,3,unmarked,Light.CurrentBrightness Light.MoveToBrightness MultiButton.Button1,4
dataset.csv,5,C07,"When the carbon dioxide concentration reaches 1000ppm or higher, sound the emergency siren.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,CarbonDioxideSensor.CarbonDioxide Siren.SetSirenMode,4
dataset.csv,6,C07,"When smoke is detected, sound the fire alarm with the siren.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,Siren.SetSirenMode SmokeDetector.Smoke,4
dataset.csv,7,C07,"When the button is pushed 3 times, open the valve.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,Button.Button Valve.Open,4
dataset.csv,8,C07,"When the temperature reaches 35 degrees or higher, set the air conditioner to 30 degrees.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,AirConditioner.SetTargetTemperature TemperatureSensor.Temperature,4
dataset.csv,9,C07,"When the safe is unlocked, sound the police siren.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,Safe.SafeState Siren.SetSirenMode,4
dataset.csv,10,C07,"When a leak is detected, close the valve.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,LeakSensor.Leakage Valve.Close,4
dataset.csv,11,C07,"When the humidity exceeds 80%, start the dehumidifier in drying mode.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,Dehumidifier.SetDehumidifierMode HumiditySensor.Humidity,4
dataset.csv,3,C14,"Each time button 4 of the multi-button is pressed, cycle the living room light brightness through 25→50→75 (repeating).",D9,D9,트리거 후 반복,count|cycle|edge|if|wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button4,5
dataset.csv,12,C07,"When the indoor very fine dust level becomes 35 or higher, set the air purifier to high.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,AirPurifier.SetAirPurifierMode AirQualitySensor.VeryFineDustLevel,4
dataset.csv,13,C07,"When the charging voltage exceeds 250V, stop charging.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,Charger.Voltage Switch.Off,2
dataset.csv,14,C08,"If button 1 of the multi-button is pressed and motion is detected in the bedroom, turn on the bedroom light at maximum brightness.",D3,D3,조건 지금,if,read|set,3,unmarked,Light.MoveToBrightness MotionSensor.Motion MultiButton.Button1,6
dataset.csv,14,C07,"When motion is detected in the bedroom, turn on the bedroom air conditioner.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,MotionSensor.Motion Switch.On,4
dataset.csv,15,C07,"When a smoke is detected in the kitchen, close the kitchen valve.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,SmokeDetector.Smoke Valve.Close,4
dataset.csv,16,C07,"When the fine dust level in the study reaches 30 or higher, turn on the study air purifier.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,AirQualitySensor.FineDustLevel Switch.On,4
dataset.csv,17,C07,"When a water leak is detected in the basement, sound the main siren in emergency mode.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,LeakSensor.Leakage Siren.SetSirenMode,4
dataset.csv,15,C08,"If button 2 of the multi-button is pressed and the living room brightness is below 50, turn on all living room lights.",D3,D3,조건 지금,if,read|set,3,all,Light.MoveToBrightness LightSensor.Brightness MultiButton.Button2,7
dataset.csv,18,C07,"When the garage door is opened, take a picture with the garage camera.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,Camera.CaptureImage Door.DoorState,4
dataset.csv,19,C07,"When the baby room sound exceeds 40 dB, output ""Noise detected in the baby room"" through the living room speaker.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,SoundSensor.Sound Speaker.Speak,4
dataset.csv,20,C07,"When the laundry room dryer's spin speed drops to 5 or below, announce through the living room speaker that the laundry is done.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,LaundryDryer.SpinSpeed Speaker.Speak,4
dataset.csv,21,C07,"When the temperature in the pantry reaches 25 degrees or higher, turn on the pantry air conditioner.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,Switch.On TemperatureSensor.Temperature,4
dataset.csv,22,C07,"When the bathroom humidity exceeds 70%, set the bathroom dehumidifier to freeze protection mode.",D4,D4,트리거 기다림,wait,read|set,2,unmarked,Dehumidifier.SetDehumidifierMode HumiditySensor.Humidity,4
dataset.csv,23,C07,"When the office button is pushed, turn on all humidifiers in office.",D4,D4,트리거 기다림,wait,act|read,2,all,Button.Button Switch.On,5
dataset.csv,24,C07,"When any presence sensor in the hallway detects presence, set all hallway lights to purple.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToXY PresenceSensor.Presence,6
dataset.csv,25,C07,"When the carbon dioxide level in the server room becomes 5000 ppm or above, sound all sirens in emergency mode.",D4,D4,트리거 기다림,wait,read|set,2,all,AirQualitySensor.CarbonDioxide Siren.SetSirenMode,4
dataset.csv,26,C07,"When the bedroom shade button is pushed, lower the shade.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,Button.Button WindowCovering.DownOrClose,4
dataset.csv,1,C09,Switch the TV to channel 7 and switch to channel 11 after 1 hour.,D2,D2,순서+지연,delay,set,1,unmarked,Television.SetChannel,2
dataset.csv,2,C09,Set the air conditioner to cool mode and switch to auto mode after 30 minutes.,D2,D2,순서+지연,delay,set,1,unmarked,AirConditioner.SetAirConditionerMode,2
dataset.csv,3,C09,Set the air purifier to auto mode and switch to sleep mode after 2 hours.,D2,D2,순서+지연,delay,set,1,unmarked,AirPurifier.SetAirPurifierMode,2
dataset.csv,4,C09,Set the air conditioner temperature to 24 degrees and change it to 26 degrees after 1 hour.,D2,D2,순서+지연,delay,set,1,unmarked,AirConditioner.SetTargetTemperature,2
dataset.csv,5,C09,Set the oven mode to Bake and change it to warming mode after 10 minutes.,D2,D2,순서+지연,delay,set,1,unmarked,Oven.SetOvenMode,2
dataset.csv,1,C10,"When the presence sensor detects someone, take a picture after 1 minute.",D13,D4,복합 중첩,delay|wait,act|read,2,unmarked,Camera.CaptureImage PresenceSensor.Presence,4
dataset.csv,2,C10,"When the oven enters heating mode, switch it to microwave mode after 3 seconds.",D13,D4,복합 중첩,delay|wait,read|set,2,unmarked,Oven.OvenMode Oven.SetOvenMode,2
dataset.csv,3,C10,"When the humidity falls below 30%, output ""Humidity is low"" through the speaker after 3 seconds.",D13,D4,복합 중첩,delay|wait,read|set,2,unmarked,HumiditySensor.Humidity Speaker.Speak,4
dataset.csv,4,C10,"When it rains, close the door and check again after 1 hour; if it's not raining then, open the door again.",D13,D4,복합 중첩,delay|if|wait,act|read,3,unmarked,Door.Close Door.Open RainSensor.Rain,5
dataset.csv,6,C09,"If the dust level concentration is 2000ppm or above, close the door and close the valve after 4 hours.",D3,D3,조건 지금,delay|if,act|read,3,unmarked,Door.Close Valve.Close WeatherProvider.Pm10Weather,5
dataset.csv,7,C09,Sound the siren in emergency mode and change it to fire mode after 5 seconds.,D2,D2,순서+지연,delay,set,1,unmarked,Siren.SetSirenMode,2
dataset.csv,16,C08,"When button 3 of the multi-button is pressed, change all meeting room lights to blue.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToXY MultiButton.Button3,5
dataset.csv,8,C09,Start the robot vacuum cleaner in auto mode and switch to manual mode after 30 minutes.,D2,D2,순서+지연,delay,set,1,unmarked,RobotVacuumCleaner.SetRobotVacuumCleanerMode,2
dataset.csv,9,C09,Set the speaker volume to 20 and increase it to 40 after 10 minutes.,D2,D2,순서+지연,delay,set,1,unmarked,Speaker.SetVolume,2
dataset.csv,10,C09,Start the dehumidifier in drying mode and change to refreshing mode after 1 hour.,D2,D2,순서+지연,delay,set,1,unmarked,Dehumidifier.SetDehumidifierMode,2
dataset.csv,17,C08,"When button 4 of the multi-button is pressed, set all lights to night mode at 10% brightness.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button4,5
dataset.csv,5,C10,"When any presence sensor in the house detects presence, sound all emergency sirens after 10 seconds.",D13,D4,복합 중첩,delay|wait,read|set,2,all,PresenceSensor.Presence Siren.SetSirenMode,6
dataset.csv,11,C09,Open all valves in the kitchen and close them again after 5 minutes.,D2,D2,순서+지연,delay,act,2,all,Valve.Close Valve.Open,3
dataset.csv,12,C09,Close all blinds in the bedroom and open them again after 2 hours.,D2,D2,순서+지연,delay,act,2,all,WindowCovering.DownOrClose WindowCovering.UpOrOpen,3
dataset.csv,6,C10,"When any light in the hallway is turned on, turn off all lights in the living room after 5 minutes.",D13,D4,복합 중첩,delay|wait,act|read,2,all,Switch.Off Switch.Switch,5
dataset.csv,13,C09,Turn on all dehumidifiers in the lab and turn them off after 4 hours.,D2,D2,순서+지연,delay,act,2,all,Switch.Off Switch.On,3
dataset.csv,7,C10,"When any air purifier in the office switches to sleep mode, turn off the light after 10 minutes.",D13,D4,복합 중첩,delay|wait,act|read,2,any,AirPurifier.AirPurifierMode Switch.Off,5
dataset.csv,14,C09,Lock all warehouse door locks and sound the emergency siren 1 minute later.,D2,D2,순서+지연,delay,act|set,2,all,DoorLock.Lock Siren.SetSirenMode,5
dataset.csv,8,C10,"When any illuminance sensor on the terrace reaches 100 lux or higher, raise all blinds after 5 seconds.",D13,D4,복합 중첩,delay|wait,act|read,2,all,LightSensor.Brightness WindowCovering.UpOrOpen,6
dataset.csv,9,C10,"When any temperature sensor in the data center reaches 30 degrees or higher, set all air conditioners to cool mode after 1 minute.",D13,D4,복합 중첩,delay|wait,read|set,2,all,AirConditioner.SetAirConditionerMode TemperatureSensor.Temperature,6
dataset.csv,15,C09,Turn on the kitchen light and turn on the kitchen dehumidifier 10 seconds later.,D2,D2,순서+지연,delay,act|set,2,unmarked,Dehumidifier.SetDehumidifierMode Switch.On,4
dataset.csv,16,C09,Set the study air purifier to high and turn it off after 2 hours.,D2,D2,순서+지연,delay,act|set,2,unmarked,AirPurifier.SetAirPurifierMode Switch.Off,2
dataset.csv,17,C09,Turn off the bathroom light and turn on after 5 minutes.,D2,D2,순서+지연,delay,act,2,unmarked,Switch.Off Switch.On,2
dataset.csv,18,C09,Close the meeting room door. After 3 seconds take a picture with the meeting room camera.,D2,D2,순서+지연,delay,act,2,unmarked,Camera.CaptureImage Door.Close,4
dataset.csv,1,C11,"Check the wine cellar temperature now and again in 10 minutes. If it has changed by 1 degree or higher, announce through the speaker that the wine cellar temperature has changed rapidly.",D11,D11,두 번 읽고 비교,delay|if|read|read2|var,read|set,2,unmarked,Speaker.Speak TemperatureSensor.Temperature,4
dataset.csv,4,C05,"If the temperature is 28 degrees or higher and the humidity is 70% or higher, set the air conditioner to cool mode and 24 degrees.",D3,D3,조건 지금,if,read|set,4,unmarked,AirConditioner.SetAirConditionerMode AirConditioner.SetTargetTemperature HumiditySensor.Humidity TemperatureSensor.Temperature,6
dataset.csv,5,C05,"If the carbon dioxide concentration is 1200ppm or higher and person is being detected, set the air purifier to high mode and announce a warning using the speaker.",D3,D3,조건 지금,if,read|set,4,unmarked,AirPurifier.SetAirPurifierMode AirQualitySensor.CarbonDioxide PresenceSensor.Presence Speaker.Speak,8
dataset.csv,6,C05,"If it is raining and the humidity is 80% or higher, set the dehumidifier to drying mode and output ""It's raining and himidity is high"" through the speaker.",D3,D3,조건 지금,if,read|set,4,unmarked,Dehumidifier.SetDehumidifierMode HumiditySensor.Humidity RainSensor.Rain Speaker.Speak,8
dataset.csv,7,C05,"If the noise level is 70 or higher and no one is home, take a photo with the camera and sound the police siren.",D3,D3,조건 지금,if,act|read|set,4,unmarked,Camera.CaptureImage PresenceSensor.Presence Siren.SetSirenMode SoundSensor.Sound,8
