id,space_id,command,command_ko,context,expect,why_type,why,category
88,OFFICE05,could you make sure the place is secure?,문단속 좀 해줄래?,,agent,,,기기 제어
89,OFFICE06,Lock the door lock,도어락 잠가줘.,,agent,,,기기 제어
90,OFFICE05,please make sure the door lock is locked.,도어락 좀 잠겼는지 봐줘.,,agent,,,상태 조회
91,OFFICE03,could you lock the door lock?,도어락 잠가줄래?,,agent,,,기기 제어
92,OFFICE01,Is the door lock locked?,도어락 잠겼어?,,agent,,,상태 조회
93,OFFICE01,please run the pantry fan for 15 minutes.,팬트리 선풍기를 15분 동안 돌려주세요.,,execute,,,자동화 만들기
94,OFFICE04,Run the pantry fan for 2 minutes.,팬트리 선풍기를 2분 동안 돌려.,,execute,,,자동화 만들기
95,OFFICE01,Turn on the pantry fan.,팬트리 선풍기 켜.,,agent,,,기기 제어
96,OFFICE04,Set the pantry fan to high,팬트리 선풍기 세게 틀어.,,agent,,,기기 제어
97,OFFICE04,How much power is the switch pulling,스위치 전력 얼마나 쓰고 있어?,,refuse,감지불가,스위치에 전력 측정 기능 없음,상태 조회
98,OFFICE06,How much power is the switch pulling.,스위치 전력 얼마나 쓰고 있어?,,refuse,감지불가,스위치에 전력 측정 기능 없음,상태 조회
99,OFFICE05,How humid is the open space.,사무실 습도 얼마야?,,agent,,,상태 조회
100,OFFICE06,What is the temperature in the entrance,현관 온도 몇 도야?,,refuse,감지불가,현관에 온도 센서 없음,상태 조회
101,OFFICE04,How humid is the entrance.,현관 습도 얼마야?,,refuse,감지불가,현관에 습도 센서 없음,상태 조회
102,OFFICE04,Is the fan on right now.,선풍기 지금 켜져 있어?,,agent,,,상태 조회
103,OFFICE04,How much power is the fan pulling,선풍기 전력 얼마나 쓰고 있어?,,refuse,감지불가,선풍기 전력을 잴 기기가 없음,상태 조회
104,OFFICE05,What are all the switches set to?,모든 스위치 어떻게 돼 있어?,,agent,,,상태 조회
105,OFFICE03,can you toggle the switch?,스위치 껐다 켜줄래?,,ask,위치애매,어느 스위치인지 애매,기기 제어
106,OFFICE02,please turn off all the switches.,모든 스위치 꺼주세요.,,agent,,,기기 제어
107,OFFICE05,I am done for the day.,오늘은 여기까지야.,,ask,동작애매,퇴근 정리로 무엇을 할지 애매,기기 제어
108,OFFICE03,please switch the meeting room 3 light on.,회의실 3 조명 켜주세요.,,agent,,,기기 제어
109,OFFICE01,please toggle the open space switch.,사무실 스위치 껐다 켜주세요.,,ask,확인필요,사무 공간 기기가 모두 잠깐 꺼지므로 확인 필요,기기 제어
110,OFFICE01,could you put the open space thermostat on 22 degrees?,사무실 온도조절기 22도로 해줄 수 있어?,,agent,,,기기 제어
111,OFFICE06,Turn the heating off,난방 꺼.,,agent,,,기기 제어
112,OFFICE01,could you put the open space thermostat on 25 degrees?,사무실 온도조절기 25도로 해줄래?,,agent,,,기기 제어
113,OFFICE02,Cancel the timer,타이머 취소해줘.,,agent,,,타이머
114,OFFICE03,I'd like you to cancel the timer.,타이머 취소해줘.,,agent,,,타이머
115,OFFICE02,I'd like you to start a countdown for 2 minutes.,2분 카운트다운 시작해줘.,,agent,,,타이머
116,OFFICE05,could you start a countdown for 5 minutes?,5분 카운트다운 시작해줄 수 있어?,,agent,,,타이머
117,OFFICE02,can you shut the parking shutter?,주차장 셔터 닫아줄래?,,refuse,기기없음,주차장 셔터 없음,기기 제어
118,OFFICE01,Shut the open space lights off.,사무실 조명 꺼.,,agent,,,기기 제어
119,OFFICE05,Raise all the blinds.,모든 블라인드 올려.,,agent,,,기기 제어
120,OFFICE06,Switch all the lights on,모든 조명 켜.,,agent,,,기기 제어
121,OFFICE01,can you turn the coffee maker off?,커피머신 꺼줄래?,,agent,,,기기 제어
122,OFFICE02,I'd like you to start the coffee maker.,커피머신 켜줘.,,agent,,,기기 제어
123,OFFICE04,could you brew a cup on the pantry coffee maker?,팬트리 커피머신으로 한 잔 내려줘.,,agent,,,기기 제어
124,OFFICE06,Turn the pantry coffee maker off,팬트리 커피머신 꺼.,,agent,,,기기 제어
125,OFFICE06,please brew a cup on the pantry coffee maker.,팬트리 커피머신으로 한 잔 내려주세요.,,agent,,,기기 제어
126,OFFICE06,Make me a cup,한 잔 내려줘.,,agent,,,기기 제어
127,OFFICE02,can you start the pantry coffee maker?,팬트리 커피머신 켜줄래?,,agent,,,기기 제어
128,OFFICE01,can you turn the pantry coffee maker off?,팬트리 커피머신 꺼줄래?,,agent,,,기기 제어
129,OFFICE02,I'd like you to start the pantry coffee maker.,팬트리 커피머신 켜줘.,,agent,,,기기 제어
130,OFFICE04,I'd like you to turn the pantry coffee maker off.,팬트리 커피머신 꺼줘.,,agent,,,기기 제어
131,OFFICE01,can you turn on the camera?,카메라 켜줄래?,,refuse,기기없음,카메라 없음,기기 제어
132,OFFICE05,I'd like you to take a snapshot with the camera.,카메라로 사진 찍어줘.,,ask,확인필요,"어느 카메라인지 애매, 촬영이라 확인 필요",기기 제어
133,OFFICE03,please take a snapshot with the meeting room camera.,회의실 카메라로 사진 좀 찍어줘.,화자 위치: 1번 회의실,ask,확인필요,촬영이라 확인 필요,기기 제어
134,OFFICE02,can you set the volume on the TV to 30?,TV 볼륨 30으로 맞춰줄래?,,refuse,기기없음,TV 없음 (회의실 디스플레이만 있음),기기 제어
135,OFFICE04,I'd like you to shut the row 6 light off.,6열 조명 꺼줘.,,agent,,,기기 제어
136,OFFICE06,Run the fan for 3 minutes,선풍기를 3분 동안 돌려.,,refuse,기기없음,선풍기 없음,자동화 만들기
137,OFFICE01,can you shut everything down in here?,여기 다 꺼줄래?,,ask,확인필요,"어느 공간인지 애매, 다 끄는 동작이라 확인 필요",기기 제어
138,OFFICE06,please brighten this place up.,여기 좀 밝게 해줘.,화자 위치: 회의실,agent,,,기기 제어
139,OFFICE05,can you get the open space lights on?,사무실 조명 켜줄래?,,agent,,,기기 제어
140,OFFICE01,Get the pantry lights on,팬트리 조명 켜.,,agent,,,기기 제어
141,OFFICE06,can you turn on the fan?,선풍기 켜줄래?,,refuse,기기없음,선풍기 없음,기기 제어
142,OFFICE06,Make it breezy,시원하게 해줘.,,agent,,,기기 제어
143,OFFICE05,could you bring the hallway lights down to 25 percent?,복도 조명 밝기 25퍼센트로 낮춰줄 수 있어?,,agent,,,기기 제어
144,OFFICE03,Switch the switch on.,스위치 켜.,,ask,위치애매,어느 스위치인지 애매,기기 제어
145,OFFICE06,please switch the open space lights to the reading scene.,사무실 조명 독서 모드로 바꿔주세요.,,agent,,,기기 제어
146,OFFICE02,I'd like you to stop recording on the camera.,카메라 녹화 멈춰줘.,,refuse,기기없음,카메라 없음,기기 제어
147,OFFICE06,please record this.,이거 좀 녹화해줘.,,ask,동작애매,무엇을 녹화할지 애매,기기 제어
148,OFFICE02,please switch the pantry lights to the morning scene.,팬트리 조명 아침 모드로 좀 바꿔줘.,,agent,,,기기 제어
149,OFFICE03,please turn on the air conditioner.,에어컨 켜주세요.,,ask,위치애매,에어컨이 회의실마다 있어 어느 곳인지 애매,기기 제어
150,OFFICE05,could you turn on the hallway camera?,복도 카메라 켜줘.,,ask,확인필요,카메라를 켜는 건 감시라 확인 필요,기기 제어
151,OFFICE04,Turn the fan off.,선풍기 꺼.,,agent,,,기기 제어
152,OFFICE06,I'd like you to switch the meeting room lights off.,회의실 조명 꺼줘.,,agent,,,기기 제어
153,OFFICE05,Open the open space blinds.,사무실 블라인드 열어.,,agent,,,기기 제어
154,OFFICE04,Run the presentation scene on the lights,조명 발표 모드 실행해.,,agent,,,기기 제어
155,OFFICE01,can you run the break scene on the lights?,조명 휴식 모드 실행해줄래?,,agent,,,기기 제어
156,OFFICE01,Light up all the lights,모든 조명 켜.,,agent,,,기기 제어
157,OFFICE06,Get the meeting room lights on,회의실 조명 켜.,,agent,,,기기 제어
158,OFFICE02,can you tell me the office temperature?,사무실 온도를 알려줄래?,,agent,,,상태 조회
159,OFFICE04,could you brew a cup on the coffee maker?,커피머신으로 한 잔 내려줘.,,agent,,,기기 제어
160,OFFICE04,please turn the coffee maker off.,커피머신 꺼주세요.,,agent,,,기기 제어
161,OFFICE04,I'd like you to run the pantry fan for 60 minutes.,팬트리 선풍기를 60분 동안 돌려줘.,,execute,,,자동화 만들기
162,OFFICE04,can you toggle the row 3 light?,3열 조명 껐다 켜줄래?,,agent,,,기기 제어
163,OFFICE01,could you set the lights to the meeting scene?,조명 회의 모드로 해줄래?,,agent,,,기기 제어
164,OFFICE04,could you turn on the open space air purifier?,사무실 공기청정기 켜줄 수 있어?,,agent,,,기기 제어
165,OFFICE03,can you turn on the meeting room switch?,회의실 스위치 켜줄래?,,ask,위치애매,회의실이 4곳이라 어느 곳인지 애매,기기 제어
166,OFFICE05,can you start recording on all the cameras?,모든 카메라 녹화 시작해줄래?,,ask,확인필요,녹화라 확인 필요,기기 제어
167,OFFICE01,could you remind me to check all the lights?,모든 조명 확인하라고 알려줄 수 있어?,,agent,,,알림 보내기
168,OFFICE02,please switch the open space switch on.,사무실 스위치 켜주세요.,,agent,,,기기 제어
169,OFFICE03,could you get the meeting room lights on?,회의실 조명 켜줄래?,,ask,위치애매,회의실이 4곳이라 어느 곳인지 애매,기기 제어
170,OFFICE04,Switch all the lights off,모든 조명 꺼.,,agent,,,기기 제어
171,OFFICE05,could you switch the open space lights on?,사무실 조명 켜줘.,,agent,,,기기 제어
172,OFFICE06,please turn all the lights red.,모든 조명 빨간색으로 켜주세요.,,agent,,,기기 제어
173,OFFICE03,could you toggle the meeting room 4 light?,회의실 4 조명 껐다 켜줄 수 있어?,,agent,,,기기 제어
174,OFFICE01,could you set a 60 minute timer?,60분 타이머 맞춰줘.,,agent,,,타이머
175,OFFICE04,could you turn on the open space switch?,사무실 스위치 켜줄래?,,agent,,,기기 제어
176,OFFICE06,could you ping me when the open space printer finishes?,사무실 프린터 끝나면 알려줄 수 있어?,,execute,,,자동화 만들기
177,OFFICE05,could you remind me to check all the switches?,모든 스위치 확인하라고 알려줘.,,agent,,,알림 보내기
178,OFFICE04,I'd like you to get the row 6 light on.,6열 조명 켜줘.,,agent,,,기기 제어
179,OFFICE06,please set the mood softer.,분위기 좀 부드럽게 해줘.,,ask,동작애매,밝기인지 색인지 애매,기기 제어
180,OFFICE01,can you run the fan for 20 minutes?,선풍기를 20분 동안 돌려줄래?,,execute,,,자동화 만들기
181,OFFICE05,Lower the open space blinds to 50 percent.,사무실 블라인드 50퍼센트까지 내려.,,agent,,,기기 제어
182,OFFICE01,could you start recording on the camera?,카메라 녹화 시작해줄 수 있어?,,refuse,기기없음,카메라 없음,기기 제어
183,OFFICE03,I'd like you to get all the lights on.,모든 조명 켜줘.,,agent,,,기기 제어
184,OFFICE03,can you set all the lights to amber?,모든 조명 주황색으로 바꿔줄래?,,agent,,,기기 제어
185,OFFICE03,could you put the meeting room 4 light on?,회의실 4 조명 켜줄 수 있어?,,agent,,,기기 제어
186,OFFICE05,I'd like you to turn on the water heater.,온수기 켜줘.,,refuse,기기없음,온수기 없음,기기 제어
187,OFFICE06,could you dim the light to 25 percent with a single press of the button?,버튼을 한 번 누르면 조명 밝기를 25퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
188,OFFICE06,can you make it dimmer when the button is pressed?,버튼이 눌리면 좀 더 어둡게 해줄래?,,execute,,,자동화 만들기
189,OFFICE06,can you dim the open space lights to 10 percent with one tap on the wall switch?,벽 스위치를 한 번 누르면 사무실 조명 밝기를 10퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
190,OFFICE06,"With a single press of the button, dim the meeting room lights to 20 percent.",버튼을 한 번 누르면 회의실 조명 밝기를 20퍼센트로 낮춰.,,execute,,,자동화 만들기
191,OFFICE06,could you dim the meeting room lights to 10 percent when the button is pressed?,버튼이 눌리면 회의실 조명 밝기를 10퍼센트로 낮춰줄 수 있어?,,execute,,,자동화 만들기
192,OFFICE06,can you dim the meeting room lights to 10 percent when I double-press the button?,버튼이 연속 두 번 눌리면 회의실 조명 밝기를 10퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
193,OFFICE06,"When I press the button, dim the open space lights to 5 percent.",내가 버튼을 누르면 사무실 조명 밝기를 5퍼센트로 낮춰.,,execute,,,자동화 만들기
194,OFFICE06,"When the button is pressed, dim the open space lights to 30 percent.",버튼이 눌리면 사무실 조명 밝기를 30퍼센트로 낮춰.,,execute,,,자동화 만들기
195,OFFICE06,could you dim the open space lights to 20 percent when I double-press the button?,버튼이 연속 두 번 눌리면 사무실 조명 밝기를 20퍼센트로 낮춰줘.,,execute,,,자동화 만들기
196,OFFICE06,can you dim the meeting room lights to 15 percent when I press the button?,내가 버튼을 누르면 회의실 조명 밝기를 15퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
197,OFFICE06,"With one tap on the wall switch, set the mood softer",벽 스위치를 한 번 누르면 분위기 좀 부드럽게 해줘.,,ask,위치애매,"어느 스위치인지, 어떻게 바꿀지 애매",자동화 만들기
198,OFFICE06,could you dim the open space lights to 30 percent with a single press of the button?,버튼을 한 번 누르면 사무실 조명 밝기를 30퍼센트로 낮춰줘.,,execute,,,자동화 만들기
199,OFFICE06,could you dim the meeting room lights to 30 percent when I press the button?,내가 버튼을 누르면 회의실 조명 밝기를 30퍼센트로 낮춰줄래?,,execute,,,자동화 만들기
200,OFFICE01,"Around sundown, switch the light on",해질 무렵 조명 켜.,,ask,위치애매,어느 공간 조명인지 애매,자동화 만들기
201,OFFICE05,"Around sundown, get the hallway lights on.",해질 무렵 복도 조명 켜.,,execute,,,자동화 만들기
202,OFFICE04,could you brighten this place up at sunrise?,해 뜰 때 여기 좀 밝게 해줄래?,화자 위치: 사무 공간,execute,,,자동화 만들기
203,OFFICE03,could you turn on the open space lights around sundown?,해질 무렵 사무실 조명 켜줄 수 있어?,,execute,,,자동화 만들기
204,OFFICE04,I'd like you to put the open space lights on around sundown.,해질 무렵 사무실 조명 켜줘.,,execute,,,자동화 만들기
205,OFFICE01,can you put the open space lights on around sundown?,해질 무렵 사무실 조명 켜줄래?,,execute,,,자동화 만들기
206,OFFICE02,please light up the pantry lights around sundown.,해질 무렵 팬트리 조명 켜주세요.,,execute,,,자동화 만들기
207,OFFICE06,please switch the meeting room lights on around sundown.,해질 무렵 회의실 조명 켜주세요.,,execute,,,자동화 만들기
208,OFFICE03,"Around sundown, brighten this place up",해질 무렵 여기 좀 밝게 해줘.,,ask,위치애매,어느 공간인지 애매,자동화 만들기
209,OFFICE03,"At 7 am, I want to know when it changes.",오전 7시에 상태가 바뀌면 알려줘.,,ask,동작애매,무엇의 상태인지 애매,자동화 만들기
210,OFFICE05,"Every night at midnight, send a warning to my phone.",매일 자정에 자정이라고 알림 보내줘.,,execute,,,자동화 만들기
211,OFFICE02,Let me know every night at 10 pm,매일 밤 10시에 알려줘.,,execute,,,자동화 만들기
212,OFFICE04,Give me a heads-up on Monday at noon,월요일 정오에 꼭 알려줘.,,execute,,,자동화 만들기
213,OFFICE01,could you announce it every night at 10 pm?,매일 밤 10시에 방송해줘.,,execute,,,자동화 만들기
214,OFFICE03,could you push me an alert every night at 11:30 pm?,매일 밤 11시 30분에 알림 띄워줄래?,,execute,,,자동화 만들기
215,OFFICE02,I'd like you to let me know every night at 9 pm.,매일 밤 9시에 알려줘.,,execute,,,자동화 만들기
216,OFFICE04,I'd like you to tell me about it every night at 11:30 pm.,매일 밤 11시 30분에 알려줘.,,execute,,,자동화 만들기
217,OFFICE06,I'd like you to send me a notification every night at 10:30 pm.,매일 밤 10시 30분에 알림 보내줘.,,execute,,,자동화 만들기
218,OFFICE06,Put the open space lights on when I double-press the button.,버튼이 연속 두 번 눌리면 사무실 조명 켜.,,execute,,,자동화 만들기
219,OFFICE01,I'd like you to get the pantry lights on when I press the button.,내가 버튼을 누르면 팬트리 조명 켜줘.,,execute,,,자동화 만들기
220,OFFICE01,"When the temperature drops below 25 degrees, turn the air conditioner off and the fan on.",온도가 25도 아래로 떨어지면 에어컨 끄고 선풍기를 켜줘.,,execute,,,자동화 만들기
221,OFFICE04,"When the temperature goes above 30 degrees, turn on the pantry fan",온도가 30도를 넘으면 팬트리 선풍기 켜.,,execute,,,자동화 만들기
222,OFFICE04,could you make it breezy when the temperature goes above 30 degrees?,온도가 30도를 넘으면 시원하게 해줘.,,execute,,,자동화 만들기
223,OFFICE04,please let me know if rain is in the forecast.,비 예보가 있으면 알려주세요.,,refuse,감지불가,날씨 정보를 받을 기기가 없음,자동화 만들기
224,OFFICE03,please let me know if the outside temperature drops below 10.,바깥 온도가 10도 아래로 떨어지면 알려주세요.,,execute,,,자동화 만들기
225,OFFICE03,can you tell me about it if the outside temperature drops below 10?,바깥 온도가 10도 아래로 떨어지면 알려줄래?,,execute,,,자동화 만들기
226,OFFICE02,I'd like you to tell me about it when it starts raining.,비가 오기 시작하면 알려줘.,,execute,,,자동화 만들기
227,OFFICE06,please turn the light amber if the temperature drops below 25 degrees.,온도가 25도 아래로 떨어지면 조명 주황색으로 좀 켜줘.,,ask,위치애매,어느 공간 조명인지 애매,자동화 만들기
228,OFFICE03,"When the temperature goes above 32 degrees, change the meeting room 4 light to green.",온도가 32도를 넘으면 회의실 4 조명 초록색으로 바꿔.,,execute,,,자동화 만들기
229,OFFICE01,could you change the pantry lights to orange if the temperature drops below 18 degrees?,온도가 18도 아래로 떨어지면 팬트리 조명 주황색으로 바꿔줄래?,,execute,,,자동화 만들기
230,OFFICE05,could you set the open space lights to amber if the temperature drops below 10 degrees?,온도가 10도 아래로 떨어지면 사무실 조명 주황색으로 바꿔줄 수 있어?,,execute,,,자동화 만들기
231,OFFICE02,I'd like you to turn the meeting room light blue when the temperature goes above 30 degrees.,온도가 30도를 넘으면 회의실 조명 파란색으로 켜줘.,,execute,,,자동화 만들기
232,OFFICE05,can you lower the blind to 30 percent around sundown?,해질 무렵 블라인드 30퍼센트까지 내려줄래?,,execute,,,자동화 만들기
