id,source_stratum,timelines,total_operators,operator_types,control_depth,cycle_depth,operator_types_without_start_call,start_at,call,wait,delay,read,if,cycle,break,timer,let,request,ir_source
E1-038,research,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,If I receive an email from JohnDoe@gmail.com then blink lights to notify me.,breadth/remaining72/batch_er/runs/results.json
E1-039,research,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,Turn on the lights when the sun sets.,breadth/remaining72/batch_er/runs/results.json
E1-040,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,If it is 7:00PM then turn on the lights in my bedroom.,breadth/remaining72/batch_er/runs/results.json
E1-041,research,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,Blink the lights if someone is at my front door.,breadth/remaining72/batch_er/runs/results.json
E1-042,research,1,11,6,2,1,4,1,4,1,0,2,2,1,0,0,0,The lighting in my bedroom should be on when I am there and off when I am not there.,breadth/remaining72/batch_er/runs/results.json
E1-043,research,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,If it begins to rain then change the light colors to blue.,breadth/remaining72/batch_er/runs/results.json
E1-044,research,1,8,6,2,1,4,1,2,1,0,2,1,1,0,0,0,"When I close the kitchen door, lock the door and turn off the kitchen light.",breadth/remaining72/batch_er/runs/results.json
E1-045,research,1,8,6,2,1,4,1,1,3,0,1,1,1,0,0,0,"If I get less than 5 hours of sleep, put on a pot o’ coffee",breadth/remaining72/batch_er/runs/results.json
E1-046,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,You want the lights to turn on at 6:00 pm every day,breadth/remaining72/batch_er/runs/results.json
E1-047,research,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,"You want to be notified, via email, should a person be detected in the house while everyone’s at work (9:00 am - 5:00 pm every day)",breadth/remaining72/batch_er/runs/results.json
E1-048,research,1,7,5,2,1,3,1,2,2,0,0,1,1,0,0,0,"You want the thermostat to be off as much as possible, unless the temperature outside is below 40 degrees, in which case the thermostat should be set to 72 degrees.",breadth/remaining72/batch_er/runs/results.json
E1-049,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,"You want a pot of coffee to be brewed when it’s below 40 degrees outside, but only before 10:00 am every day.",breadth/remaining72/batch_er/runs/results.json
E1-050,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,"If the time is 6:00 pm, then turn the lights on",breadth/remaining72/batch_er/runs/results.json
E1-051,research,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,"If I arrive at home and the time is between 6:00 - 11:00 pm, then turn the lights on",breadth/remaining72/batch_er/runs/results.json
E1-052,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,"If it is snowing, then turn the thermostat to 75 degrees F",breadth/remaining72/batch_er/runs/results.json
E1-053,research,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,"If the time is between 7:00 am and 10:00 am and the outside temperature is below 40 degrees, then brew a pot of coffee",breadth/remaining72/batch_er/runs/results.json
E1-054,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,"When a switch is moved to the on position, turn on a light.",breadth/remaining72/batch_official/runs/results.json
E1-055,official,1,7,5,2,1,3,1,2,0,0,2,1,1,0,0,0,"At 10pm, dim the lights and close the blinds.",breadth/remaining72/batch_official/runs/results.json
E1-056,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,"When the first person comes home, turn off cameras.",breadth/remaining72/batch_official/runs/results.json
E1-057,official,1,9,5,3,1,3,1,2,0,0,2,3,1,0,0,0,"When the home is unoccupied, run the vacuum; when someone is home, stop the vacuum.",breadth/remaining72/batch_official/runs/results.json
E1-058,official,1,8,5,3,1,3,1,2,0,0,2,2,1,0,0,0,"After dark, when the TV is on, dim the light and lower the blinds.",breadth/remaining72/batch_official/runs/results.json
E1-059,official,1,8,5,2,1,3,1,3,0,0,2,1,1,0,0,0,"If it is cool, open blinds, turn on fans, and adjust thermostats.",breadth/remaining72/batch_official/runs/results.json
E1-060,official,1,9,5,2,1,3,1,4,0,0,2,1,1,0,0,0,"If it is warm, close blinds, turn on fans, and adjust thermostats.",breadth/remaining72/batch_official/runs/results.json
E1-061,official,1,12,5,2,1,3,1,3,0,0,4,3,1,0,0,0,"Turn on the lights at sunset, dim them at 10pm and turn them off at midnight.",breadth/remaining72/batch_official/runs/results.json
E1-062,official,1,13,6,2,1,4,1,4,1,0,2,4,1,0,0,0,"If one light is turned on, turn the other on, and if one light is turned off, turn the other off.",breadth/depth/runs/e1_depth_v2.json
E1-063,official,1,14,6,2,1,4,1,5,0,4,2,1,1,0,0,0,"When smoke is detected, flash lights red and blue.",breadth/remaining72/batch_official/runs/results.json
E1-064,official,1,7,5,2,1,3,1,2,0,0,2,1,1,0,0,0,When indoor air quality is poor turn on air purifier at high speed.,breadth/remaining72/batch_official/runs/results.json
E1-065,official,1,7,5,3,1,3,1,1,0,0,2,2,1,0,0,0,"At night, when a lock is unlocked, turn on the light at full brightness.",breadth/remaining72/batch_official/runs/results.json
E1-066,official,1,905,6,2,1,4,1,600,0,300,2,1,1,0,0,0,"When carbon monoxide is detected, flash the lights.",breadth/remaining72/batch_official/runs/results.json
E1-067,official,1,11,5,2,1,3,1,2,0,0,4,3,1,0,0,0,"When motion is detected, turn on the lights, then turn them off after five minutes of stillness.",breadth/remaining72/batch_official/runs/results.json
E1-068,official,1,11,5,2,1,3,1,2,0,0,4,3,1,0,0,0,"When an occupant is detected, turn on the lights, then turn them off after five minutes.",breadth/remaining72/batch_official/runs/results.json
E1-069,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,"Once the home is unoccupied, turn on cameras.",breadth/remaining72/batch_official/runs/results.json
E1-070,official,1,606,6,3,1,4,1,300,0,300,2,2,1,0,0,0,"When someone rings the doorbell, blink the lights in occupied room.",breadth/remaining72/batch_official/runs/results.json
E1-071,official,1,8,5,2,1,3,1,3,0,0,2,1,1,0,0,0,"When Assistant hears the utterance ""movie night"", lower the blinds, turn off the lights, and pause certain noisy appliances.",breadth/remaining72/batch_official/runs/results.json
E1-072,official,1,8,6,2,1,4,1,2,1,0,1,2,1,0,0,0,"After dark, when someone arrives home, turn on lights, and turn off all lights when the home is unoccupied.",breadth/depth/runs/e1_depth_v2.json
E1-073,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,"When a package is delivered, send a notification.",breadth/remaining72/batch_official/runs/results.json
E1-074,official,1,8,5,2,1,3,1,2,0,0,3,1,1,0,0,0,Open blinds in the morning after motion is detected; suppress the trigger for 20 hours.,breadth/remaining72/batch_official/runs/results.json
E1-075,official,1,17,5,2,1,3,1,6,0,0,6,3,1,0,0,0,Send a notification when movement is detected at home on a weekday between 09:00 and 18:00.,breadth/remaining72/batch_official/runs/results.json
E1-076,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,Send a notification to a device when a person leaves a specific zone.,breadth/remaining72/batch_official/runs/results.json
E1-077,official,1,6,5,2,1,3,1,1,0,0,2,1,1,0,0,0,Turn on exterior lighting when the sun elevation falls below -4.0 degrees.,breadth/remaining72/batch_official/runs/results.json
E1-078,community,1,15,8,3,2,6,1,2,3,1,4,1,2,1,0,0,"Turn light ON when motion detected, turn off in 5 min; turn light ON when Lux drops below X lux, turn off in 5 min; should not turn ON light when light OFF by HA.",breadth/remaining72/batch_community/runs/results.json
E1-079,community,1,5,5,1,1,3,1,1,1,0,1,0,1,0,0,0,"If there are no new sensor values, trigger the automation once every minute; normal sensor values arrive every 10 seconds.",breadth/remaining72/batch_community/runs/results.json
E1-080,community,1,6,4,1,1,2,1,1,3,0,0,0,1,0,0,0,Arm an alarm to away when all people are away.,breadth/remaining72/batch_community/runs/results.json
E1-081,community,1,10,6,3,2,4,1,1,4,0,0,1,2,1,0,0,"Keep nagging me every 5 minutes, up to 3 times, as long as the presence binary sensor remains TRUE.",breadth/remaining72/batch_community/runs/results.json
E1-082,community,1,7,6,2,1,4,1,1,2,0,1,1,1,0,0,0,Get a notification if a door that was open for more than 5 minutes was closed.,breadth/remaining72/batch_community/runs/results.json
E1-084,community,1,8,6,2,1,4,1,2,1,0,1,2,1,0,0,0,Turn lights on from 6 pm to 9 pm Sunday to Thursday and from 7 pm to 11 pm Friday and Saturday.,breadth/remaining72/batch_community/runs/results.json
E1-085,community,1,8,6,2,1,4,1,2,1,0,1,2,1,0,0,0,"When temperature drops below 19°C, turn heater on; when temperature raises above 19.5°C, turn heater off.",breadth/remaining72/batch_community/runs/results.json
E1-086,community,1,23,6,2,1,4,1,10,4,0,0,3,1,4,0,0,"Run sprinkler zone 1 for 10 minutes, wait 30 seconds, then zone 2 for 10 minutes; stop the entire automation mid-run if the input boolean is turned off.",breadth/depth/runs/e1_depth_v2.json
E1-087,community,1,16,7,4,2,5,1,3,3,0,4,2,2,1,0,0,"Pressing a button turns on a light for exactly ten minutes, then turns it off; pressing again within the window restarts the ten-minute timer.",breadth/remaining72/batch_community/runs/results.json
E1-088,community,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,"Between sunset minus two hours and sunset, turn den lights on if the weather becomes very overcast or rainy.",breadth/remaining72/batch_community/runs/results.json
E1-089,community,1,13,6,4,1,4,1,4,1,0,1,5,1,0,0,0,Turn on a light just before sunset and turn it off just before sunrise; also handle missed events after Home Assistant restart.,breadth/remaining72/batch_community/runs/results.json
E1-090,community,1,9,6,2,1,4,1,2,3,1,0,1,1,0,0,0,"Given some trigger and conditions, turn something on for a set time and then off half an hour later.",breadth/remaining72/batch_community/runs/results.json
E1-092,community,2,14,4,0,0,2,2,6,2,4,0,0,0,0,0,0,"Have Alexas tell tasks, news, and alarm settings while Home Assistant turns off lights, locks doors, and sets alarms; continue the house shutdown if Alexa communication fails.",breadth/depth/runs/e1_depth_v2.json
E1-093,community,3,20,5,1,1,3,3,3,9,2,0,0,3,0,0,0,"When the doorbell triggers, run three scripts that display the door camera on a phone, tablet, and PC; delays in one script should not postpone the others.",breadth/remaining72/batch_community/runs/results.json
E1-094,community,2,20,5,1,1,3,2,6,6,4,0,0,2,0,0,0,"In parallel, control multiple lights while preserving each light’s own fade, delay, and turn-off sequence.",breadth/remaining72/batch_community/runs/results.json
E1-095,community,1,20,6,1,1,4,1,1,2,5,10,0,1,0,0,0,Calculate the average pH and chlorine levels between 10:00 and 15:00 and report those readings daily.,breadth/depth/runs/e1_depth_v2.json
E1-096,community,1,9,5,2,1,3,1,2,3,0,0,2,1,0,0,0,"At a chosen time and day, identify selected battery sensors below a warning threshold or unavailable/unknown and notify selected devices.",breadth/remaining72/batch_community/runs/results.json
E1-097,community,3,22,6,2,1,4,3,4,9,1,0,2,3,0,0,0,"On a doorbell button, play sound, flash lights, and send notifications, with presence or zone conditions; run enabled actions at the same time.",breadth/remaining72/batch_community/runs/results.json
E1-098,community,1,7,4,1,1,2,1,1,4,0,0,0,1,0,0,0,"Detect that the washing machine started when power rises above a running threshold; after power stays below a finish threshold for a configured time, notify and reset for the next cycle.",breadth/remaining72/batch_community/runs/results.json
E1-099,community,1,12,7,4,2,5,1,1,3,0,2,2,2,1,0,0,A manually switched-on light stays on at least 5 minutes; each motion event extends the on time by 2 minutes; the light is turned off only when no motion has been detected for 2 minutes.,breadth/depth/runs/e1_depth_v2.json
E1-100,community,1,7,5,2,1,3,1,1,3,0,0,1,1,0,0,0,"When the final resident leaves so occupancy becomes zero, if the door is unlocked, send a notification.",breadth/remaining72/batch_community/runs/results.json
